,City,Country,Cloudiness,Date,Humidity,Latitude,Longitude,Max Temperature,Wind Speed
0,scarborough,gb,,,,,,,
1,shirgaon,in,,,,,,,
2,ormond beach,us,,,,,,,
3,apatity,ru,,,,,,,
4,east london,za,,,,,,,
5,dabola,gn,,,,,,,
6,thompson,ca,,,,,,,
7,rikitea,pf,,,,,,,
8,georgetown,sh,,,,,,,
9,jamestown,sh,,,,,,,
10,arsikere,in,,,,,,,
11,mataura,pf,,,,,,,
12,kapaa,us,,,,,,,
13,klaksvik,fo,,,,,,,
14,ancud,cl,,,,,,,
15,alberton,ca,,,,,,,
16,longyearbyen,sj,,,,,,,
17,carnduff,ca,,,,,,,
18,airai,pw,,,,,,,
19,arraial do cabo,br,,,,,,,
20,mys shmidta,ru,,,,,,,
21,lebu,cl,,,,,,,
22,palabuhanratu,id,,,,,,,
23,dikson,ru,,,,,,,
24,atuona,pf,,,,,,,
25,lorengau,pg,,,,,,,
26,busselton,au,,,,,,,
27,bethel,us,,,,,,,
28,kaitangata,nz,,,,,,,
29,bairiki,ki,,,,,,,
30,hofn,is,,,,,,,
31,punta arenas,cl,,,,,,,
32,hobart,au,,,,,,,
33,bluff,nz,,,,,,,
34,new norfolk,au,,,,,,,
35,patawag,ph,,,,,,,
36,de aar,za,,,,,,,
37,san andres,co,,,,,,,
38,minab,ir,,,,,,,
39,clyde river,ca,,,,,,,
40,pietarsaari,fi,,,,,,,
41,aitape,pg,,,,,,,
42,coihaique,cl,,,,,,,
43,kysyl-syr,ru,,,,,,,
44,butaritari,ki,,,,,,,
45,teluk nibung,id,,,,,,,
46,lata,sb,,,,,,,
47,kununurra,au,,,,,,,
48,faya,td,,,,,,,
49,cuamba,mz,,,,,,,
50,ponta do sol,cv,,,,,,,
51,haines junction,ca,,,,,,,
52,jalu,ly,,,,,,,
53,hermanus,za,,,,,,,
54,chokurdakh,ru,,,,,,,
55,saskylakh,ru,,,,,,,
56,avarua,ck,,,,,,,
57,cidreira,br,,,,,,,
58,kruisfontein,za,,,,,,,
59,illapel,cl,,,,,,,
60,mar del plata,ar,,,,,,,
61,pak phanang,th,,,,,,,
62,doctor pedro p. pena,py,,,,,,,
63,toftir,fo,,,,,,,
64,lafia,ng,,,,,,,
65,taolanaro,mg,,,,,,,
66,belushya guba,ru,,,,,,,
67,kundian,pk,,,,,,,
68,ushuaia,ar,,,,,,,
69,siguiri,gn,,,,,,,
70,pevek,ru,,,,,,,
71,nanortalik,gl,,,,,,,
72,saint-francois,gp,,,,,,,
73,cabo san lucas,mx,,,,,,,
74,northam,au,,,,,,,
75,jiwani,pk,,,,,,,
76,pacific grove,us,,,,,,,
77,kamenka,ru,,,,,,,
78,cockburn town,tc,,,,,,,
79,port alfred,za,,,,,,,
80,carnarvon,au,,,,,,,
81,burnie,au,,,,,,,
82,cardoso,br,,,,,,,
83,husavik,is,,,,,,,
84,marcona,pe,,,,,,,
85,castro,cl,,,,,,,
86,srednekolymsk,ru,,,,,,,
87,barrow,us,,,,,,,
88,uttaradit,th,,,,,,,
89,lompoc,us,,,,,,,
90,tual,id,,,,,,,
91,nuevo progreso,mx,,,,,,,
92,cururupu,br,,,,,,,
93,campbell river,ca,,,,,,,
94,grand river south east,mu,,,,,,,
95,bredasdorp,za,,,,,,,
96,qaanaaq,gl,,,,,,,
97,ilulissat,gl,,,,,,,
98,yellowknife,ca,,,,,,,
99,olafsvik,is,,,,,,,
100,vaini,to,,,,,,,
101,khatanga,ru,,,,,,,
