,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
0,Xinqing,99,CN,1562712336,74,48.28,129.53,75.83,6.13
1,Vaini,94,IN,1562712137,88,15.34,74.49,77.45,8.68
2,Sale,57,AU,1562712064,70,-38.11,147.06,52.07,3.65
3,Brooks,65,CA,1562712336,46,50.57,-111.89,73.0,3.0
4,East London,0,ZA,1562712336,76,-33.02,27.91,52.07,3.31
5,Koslan,100,RU,1562712336,80,63.46,48.9,52.97,8.39
6,Cape Town,0,ZA,1562712089,100,-33.93,18.42,55.99,1.12
7,Atuona,50,PF,1562712336,76,-9.8,-139.03,80.33,8.81
8,Tasiilaq,51,GL,1562712337,86,65.61,-37.64,39.2,8.05
9,Upernavik,3,GL,1562712171,79,72.79,-56.15,42.53,24.29
10,Ratnagiri,56,IN,1562712304,82,16.98,73.3,82.31,19.15
11,Lebu,75,ET,1562712337,82,8.96,38.73,60.8,6.93
12,Kyenjojo,5,UG,1562712337,93,0.61,30.64,59.81,1.95
13,Manjacaze,0,MZ,1562712337,91,-24.71,33.88,59.09,2.37
14,Tuktoyaktuk,40,CA,1562712337,45,69.44,-133.03,64.4,4.7
15,Punta Arenas,90,CL,1562712338,100,-53.16,-70.91,37.4,4.7
16,East London,0,ZA,1562712338,76,-33.02,27.91,52.07,3.31
17,Sumbe,30,AO,1562712338,80,-11.2,13.84,71.15,7.99
18,Castro,90,CL,1562712129,100,-42.48,-73.76,51.8,8.05
19,Constitucion,75,MX,1562712161,64,23.99,-104.67,78.01,5.82
20,Harper,1,US,1562712338,66,30.3,-99.24,91.4,8.05
21,Beringovskiy,0,RU,1562712338,62,63.05,179.32,63.95,6.98
22,Lufilufi,58,WS,1562712338,94,-13.87,-171.6,78.01,3.0
23,Bermeo,40,ES,1562712339,88,43.42,-2.72,66.99,5.82
24,Bredasdorp,0,ZA,1562712137,93,-34.53,20.04,48.2,4.7
25,Hithadhoo,17,MV,1562712339,73,-0.6,73.08,83.93,11.97
26,Mar del Plata,0,AR,1562712339,74,-46.43,-67.52,43.79,4.56
27,Avarua,20,CK,1562712271,74,-21.21,-159.78,78.8,9.17
28,Sao Felix do Xingu,69,BR,1562712339,85,-6.64,-51.99,71.51,3.0
29,Bluff,92,AU,1562712339,72,-23.58,149.07,64.85,1.16
30,Thompson,75,CA,1562712340,38,55.74,-97.86,75.2,9.55
31,Constitucion,75,MX,1562712340,64,23.99,-104.67,78.01,5.82
32,Palmer,0,AU,1562712340,81,-34.85,139.16,51.01,11.41
33,Port Elizabeth,1,US,1562712158,65,39.31,-74.98,88.0,4.7
34,Punta Arenas,90,CL,1562712340,100,-53.16,-70.91,37.4,4.7
35,Spassk-Ryazanskiy,94,RU,1562712340,89,54.41,40.38,53.01,3.0
36,Butaritari,43,KI,1562712341,69,3.07,172.79,83.57,2.75
37,Isangel,40,VU,1562712341,69,-19.55,169.27,73.4,6.93
38,Cape Town,0,ZA,1562712089,100,-33.93,18.42,55.99,1.12
39,Atuona,50,PF,1562712336,76,-9.8,-139.03,80.33,8.81
40,Kapaa,40,US,1562712341,79,22.08,-159.32,84.2,12.75
41,Rikitea,29,PF,1562712126,82,-23.12,-134.97,74.03,12.88
42,Rikitea,29,PF,1562712126,82,-23.12,-134.97,74.03,12.88
43,Hilo,90,US,1562712341,74,19.71,-155.08,84.99,5.82
44,Jinchang,0,CN,1562712341,48,38.52,102.19,61.43,5.7
45,Bendigo,1,AU,1562712342,68,-36.76,144.28,44.01,15.5
46,Xining,28,CN,1562712342,76,36.62,101.77,47.75,2.3
47,Sao Felix do Xingu,69,BR,1562712339,85,-6.64,-51.99,71.51,3.0
48,Mar del Plata,0,AR,1562712339,74,-46.43,-67.52,43.79,4.56
49,Georgetown,40,GY,1562712203,74,6.8,-58.16,84.2,6.93
50,Saint George,20,GR,1562712342,69,39.45,22.34,82.99,1.48
51,Port Alfred,0,ZA,1562712342,93,-33.59,26.89,55.99,4.0
52,Atar,0,MR,1562712342,12,20.52,-13.05,94.37,21.3
53,Ushuaia,75,AR,1562712343,93,-54.81,-68.31,35.6,4.68
54,Jamestown,0,AU,1562712343,51,-33.21,138.6,51.89,17.47
55,Bijie,98,CN,1562712343,94,27.3,105.3,62.15,1.48
56,Rikitea,29,PF,1562712126,82,-23.12,-134.97,74.03,12.88
57,Abu Samrah,0,SY,1562712343,58,35.3,37.18,72.77,5.59
58,Port Alfred,0,ZA,1562712342,93,-33.59,26.89,55.99,4.0
59,Carnarvon,0,ZA,1562712343,45,-30.97,22.13,50.63,6.73
60,Ushuaia,75,AR,1562712343,93,-54.81,-68.31,35.6,4.68
61,Hasaki,40,JP,1562712344,82,35.73,140.83,68.0,10.29
62,Khani,75,GE,1562712344,88,41.96,42.96,69.8,3.36
63,New Norfolk,75,AU,1562712344,75,-42.78,147.06,48.0,8.05
64,Morondava,46,MG,1562712344,61,-20.3,44.28,71.33,20.83
65,Ushuaia,75,AR,1562712343,93,-54.81,-68.31,35.6,4.68
66,Port Elizabeth,1,US,1562712158,65,39.31,-74.98,88.0,4.7
67,Vaini,94,IN,1562712137,88,15.34,74.49,77.45,8.68
68,Najran,40,SA,1562712344,13,17.54,44.22,95.0,10.29
69,Avarua,20,CK,1562712271,74,-21.21,-159.78,78.8,9.17
70,Ballina,100,IE,1562712345,87,54.11,-9.15,63.0,1.99
71,Punta Arenas,90,CL,1562712340,100,-53.16,-70.91,37.4,4.7
72,Atuona,50,PF,1562712336,76,-9.8,-139.03,80.33,8.81
73,Benguela,60,AO,1562712345,77,-12.58,13.4,70.07,7.63
74,Vardo,20,US,1562712345,48,39.62,-77.74,86.0,5.82
